sensor_reading pref Accelx Accely Accelz Gyrox Gyroy Gyroz Magx Magy Magz Temperatura(C)
14976 13680 1.292935 -1.810109 24.352666 -0.256279 -0.608940 -0.038724 43.800914 33.941257 -100.213104 24.711025
14832 13680 0.509991 -1.063080 17.610250 -0.159338 -0.382035 -0.129273 34.364131 36.978107 -97.966949 24.702039
14576 13680 1.199556 -0.952941 15.704370 -0.152946 -0.404406 -0.006766 24.571245 37.871299 -93.992980 24.708030
14272 13680 1.450960 -0.878717 7.029735 -0.061332 0.005727 -0.034463 20.654090 41.444065 -90.537353 24.693054
13936 13680 1.843629 -0.706325 4.673720 -0.016590 0.187890 -0.046181 21.544351 40.550872 -92.092384 24.702039
13760 13680 2.332071 -0.706325 5.138219 -0.003807 0.191086 0.002822 22.968772 40.193595 -92.092384 24.675083
13696 13680 2.985722 -0.656045 7.046494 -0.204080 0.129300 0.139178 25.995664 41.086788 -91.919609 24.687063
13712 13680 3.196422 -0.505202 7.331419 -0.169991 0.085623 0.248901 31.159187 45.195465 -90.710136 24.678077
13680 13680 3.296984 0.347177 8.226897 0.572510 0.007858 0.403367 36.322708 43.587722 -92.265167 24.675083
13664 13680 2.590658 0.928998 6.641854 -0.110335 0.373249 0.258489 46.115596 35.906280 -96.239135 24.663103
13712 13680 3.047974 -0.043098 8.930828 -0.585450 -0.158326 0.135982 52.347434 43.587722 -88.809547 24.669092
13904 13680 2.674459 -0.672805 10.429675 -0.002742 -0.345815 0.991402 56.620693 46.088657 -83.971672 24.666097
13840 13680 2.085456 0.814070 8.811112 -1.212901 -0.203068 1.424971 69.796577 35.370365 -78.788230 24.660106
13968 13680 1.544339 2.444604 8.279572 0.916595 -0.248875 0.668622 78.877258 14.112419 -76.196517 24.651121
14384 13680 0.957729 0.375909 13.161598 0.830308 -0.827322 -0.380679 78.699203 -1.429106 -71.185859 24.639141
14752 13680 3.632189 -1.714336 31.363246 0.033478 -1.010550 -0.094119 63.920848 1.250467 -92.092384 24.651121
14576 13680 1.249837 -0.960124 20.018939 -0.014460 -0.447017 -0.163362 55.908485 -0.714553 -98.485290 24.636146
14416 13680 1.527578 -0.888294 16.171262 -0.134837 -0.265919 -0.169754 47.005859 5.716423 -104.014289 24.624164
14224 13680 1.154064 -0.428584 4.901181 0.049457 0.377510 -0.167623 47.540016 9.467825 -102.804824 24.627161
14080 13680 1.431806 -0.873928 6.256368 0.040935 -0.005991 -0.128208 56.976799 8.931911 -99.867538 24.615179
14128 13680 2.102216 -0.260981 11.162338 -0.164664 -0.148738 0.027323 55.374328 9.467825 -100.731445 24.612184
13968 13680 2.296156 -0.095773 10.702628 -0.084768 -0.110388 -0.133534 52.703540 12.504674 -103.668731 24.609189
13888 13680 2.159680 0.059858 8.325064 -0.047484 0.067513 -0.121816 49.320541 16.613353 -102.804824 24.609189
13904 13680 2.346437 -0.488442 7.621132 -0.050679 0.138887 -0.089858 52.169384 18.399734 -103.150382 24.615179
13984 13680 2.590658 -0.280136 7.889297 0.256121 0.105864 -0.002505 56.976799 15.720163 -101.595352 24.603199
13872 13680 2.595447 0.193940 9.414482 -0.139098 -0.027296 -0.156970 56.264591 14.648333 -102.286476 24.579236
13984 13680 2.913892 -0.378303 11.990774 -0.048549 -0.187089 -0.155905 53.771854 18.935649 -101.940917 24.582233
14000 13680 2.786993 -0.201123 11.466417 -0.189166 -0.187089 -0.021680 50.032752 21.257946 -102.804824 24.582233
13920 13680 3.095860 -0.318445 9.855037 -0.120988 -0.158326 -0.036594 43.978965 25.187986 -102.804824 24.564262
13744 13680 3.191633 -0.222672 9.210964 0.464916 -0.097605 0.056086 42.554546 29.118026 -103.150382 24.570251
13696 13680 2.985722 1.297723 6.675374 -0.000611 0.243285 0.179658 42.910652 17.327905 -104.878196 24.561265
13648 13680 3.304167 0.663228 6.282705 -0.107139 0.404142 -0.210234 50.032752 19.114288 -102.804824 24.546291
13712 13680 3.155719 0.167603 8.145490 0.037739 -0.015578 -0.236866 55.018222 23.044328 -100.040321 24.552280
13712 13680 3.131775 0.392669 11.787256 0.045196 -0.363925 -0.063226 51.457172 23.758880 -102.459259 24.546291
13840 13680 2.540377 0.507597 8.059294 -0.586516 0.088819 0.289382 48.252227 25.545263 -102.459259 24.540300
13776 13680 2.569109 -0.028732 8.823083 -1.681624 0.064318 0.928551 54.840171 38.943130 -92.610733 24.534309
13824 13680 2.360803 -0.122111 8.557313 0.222032 -0.359664 1.073429 73.713737 36.442192 -69.803611 24.537303
14080 13680 1.637717 0.991250 9.100825 1.703838 -0.349011 0.435326 76.028419 7.324166 -79.652137 24.528320
14448 13680 2.277002 -0.349571 17.990947 -0.076246 -0.572720 -0.466967 71.221000 0.714553 -85.008354 24.510349
14672 13680 3.481347 -2.269819 25.636024 0.219902 -0.987114 0.032650 61.784217 4.465955 -97.275825 24.501361
14464 13680 2.379958 -0.237038 17.725177 -0.288237 -0.371382 -0.022745 45.047283 3.394126 -102.804824 24.504358
14208 13680 2.140525 -1.110966 11.322757 -0.007003 -0.352207 -0.177211 36.500762 5.537785 -103.495948 24.513343
14016 13680 2.818119 -0.356754 9.072093 0.008976 -0.331967 -0.019549 29.378662 5.895061 -103.150382 24.507352
13712 13680 2.832485 0.562666 4.735972 -0.119923 0.302941 -0.040855 25.461507 7.681443 -103.150382 24.495372
