sensor_reading pref Accelx Accely Accelz Gyrox Gyroy Gyroz Magx Magy Magz Temperatura(C)
16016 13712 -0.579426 -0.509991 11.507121 -0.381220 0.017054 -0.266385 12.285623 19.471565 -95.893577 22.916913
15360 13712 0.019155 -2.937835 -1.343216 -0.403591 0.283374 -0.067178 14.066148 18.042459 -96.239135 22.934885
15408 13712 0.179574 -1.946585 3.239520 0.052349 0.108668 -0.051199 19.229669 17.149267 -100.213104 22.940876
15920 13712 0.045492 -0.483653 6.562841 -0.708261 0.078840 -0.076765 21.010194 19.650201 -100.904228 22.922904
15680 13712 0.703931 -0.679988 10.518264 -0.257647 -0.122498 -0.032024 20.119932 28.403474 -97.621383 22.934885
15744 13712 0.452527 -0.442950 13.774545 -0.353523 -0.403732 0.161857 17.449144 30.011219 -96.066352 22.928894
16128 13712 0.100562 -1.711941 16.784208 0.140768 -0.351533 0.004196 11.929518 32.333515 -91.401260 22.922904
15936 13712 0.620130 -1.429411 13.401030 -0.528229 -0.300400 0.112854 8.012363 33.048069 -82.762199 22.913919
15184 13712 0.893083 -2.528406 14.198340 -0.109573 -0.227961 0.132030 5.163523 39.479042 -71.704200 22.925899
14960 13712 1.120543 -1.625746 8.734494 -0.376959 -0.188545 0.308866 8.546521 42.873168 -66.693550 22.910923
15136 13712 2.128554 -0.668016 10.465589 -0.270431 -0.203459 0.314193 13.353938 48.053676 -58.572830 22.907928
14992 13712 1.800531 -1.125332 9.582084 0.080047 -0.247136 0.360000 21.722404 52.876907 -53.216613 22.913919
15072 13712 2.118977 -0.948152 16.619001 0.396435 -0.805343 0.400480 33.829975 54.663291 -50.797676 22.901937
14912 13712 2.363198 -0.198729 14.871145 0.152486 -0.501738 0.423916 48.252227 54.484653 -62.374019 22.898942
15104 13712 1.865178 -1.824475 13.851163 0.453960 -0.415450 0.209795 52.881591 54.127376 -67.903015 22.886962
15280 13712 1.951374 -0.974490 11.629231 0.178052 -0.325967 0.465462 55.730430 47.696399 -77.233200 22.895948
15120 13712 1.697575 1.087023 13.300469 -0.454724 -0.146999 0.182098 59.825641 46.088657 -79.824920 22.889957
14784 13712 2.020809 -4.192461 11.873452 1.222027 -0.196002 0.201273 57.510955 45.195465 -82.416641 22.898942
15136 13712 0.952941 0.529146 5.384834 0.050219 0.245024 0.407937 64.633056 26.974369 -92.092384 22.883966
15344 13712 0.644073 -2.411084 4.601890 0.600969 0.080971 -0.118311 67.659950 26.438453 -89.846229 22.889957
15440 13712 0.890688 0.110139 14.382703 -0.004111 -0.234352 0.302474 68.194107 12.683313 -92.092384 22.883966
15632 13712 0.756606 -1.221105 17.907146 -0.270431 -0.307857 0.080896 60.359798 10.539654 -95.893577 22.877977
15712 13712 1.326455 -1.568282 15.936619 0.105613 -0.254593 0.029763 55.730430 12.326037 -99.349197 22.874980
15328 13712 0.598581 -0.945758 7.001002 0.097091 0.185368 -0.049068 51.813278 8.395997 -101.422569 22.871986
14896 13712 0.859562 -2.334465 -1.010405 -0.032873 0.216261 -0.024567 58.401218 7.860081 -96.757476 22.863000
15008 13712 0.766184 -1.580254 10.956426 0.201489 0.069253 -0.084222 62.496425 5.895061 -94.856887 22.863000
16096 13712 0.960124 0.912237 22.928043 0.167400 -0.185350 0.043611 61.962268 3.930041 -94.338539 22.863000
14960 13712 1.314484 -0.014366 17.715600 0.350628 -0.106519 0.207664 53.059646 1.071829 -99.521980 22.845029
14848 13712 2.071090 0.395063 14.971707 0.003346 -0.414385 -0.208860 50.388858 0.178638 -99.349197 22.854015
15168 13712 2.437422 1.367159 19.338953 0.006542 -0.379231 -0.135356 41.664283 1.786382 -103.323165 22.854015
14304 13712 2.174046 1.034348 9.941232 1.240137 0.037294 -0.124703 38.103233 -6.788252 -98.139732 22.845029
14400 13712 2.810936 1.271386 9.747292 0.038501 -0.398406 -0.550815 43.444808 -24.652072 -74.987045 22.854015
14320 13712 2.363198 0.632101 8.049716 -0.145793 -0.502803 -0.691432 57.154853 -20.543394 -76.542076 22.848024
14592 13712 2.372775 -0.663228 11.155155 -0.460051 -0.470845 -0.560403 63.030586 -10.003740 -81.207168 22.842033
14752 13712 2.557138 -0.277742 8.535764 -0.054179 -0.340880 -0.362261 61.962268 3.572764 -93.301856 22.836044
15120 13712 1.604197 0.567455 10.707416 -0.133010 -0.421842 -0.364391 56.976799 7.502805 -98.139732 22.839038
15456 13712 0.502808 -1.774194 13.662012 0.224925 -0.297204 -0.248276 49.854698 9.289187 -101.940917 22.830053
15456 13712 0.227461 -0.502808 7.578034 -0.139401 0.099080 -0.344151 41.664283 10.361017 -104.359855 22.821067
16128 13712 -0.660833 -1.565888 2.705586 -0.050983 0.147018 -0.361195 46.115596 15.898800 -103.841506 22.836044
16368 13712 -0.237038 -0.720691 18.002920 -0.141532 -0.332358 -0.112985 38.993495 16.613353 -103.495948 22.815078
16864 13712 -0.849985 -0.665622 22.461151 -0.271496 -0.237548 -0.288756 32.583606 20.543394 -103.495948 22.812082
17088 13712 -2.006443 -3.421489 7.156633 -0.080811 0.025576 0.127768 31.337240 19.292926 -103.668731 22.815078
16224 13712 -1.948979 -0.404641 10.326719 -0.369502 -0.373904 -0.282365 24.393192 21.257946 -101.768135 22.812082
16848 13712 -1.723913 -5.935528 13.681166 0.064067 -0.206655 0.030828 17.093040 30.368494 -96.411918 22.806091
16848 13712 -1.580254 -0.780550 17.564758 -0.281084 -0.088409 -0.069308 14.422253 33.405345 -93.820198 22.797107
16608 13712 -2.487702 -3.924297 11.138394 1.310446 -0.083083 -0.170510 13.710043 31.261686 -92.437950 22.791116
16096 13712 -1.187584 -1.826869 9.759263 0.164204 -0.055385 -0.134291 14.422253 26.974369 -94.511322 22.794111
15936 13712 -0.529146 -2.988116 14.722697 0.050219 -0.076691 0.038285 12.819781 26.795730 -93.992980 22.791116
15840 13712 -0.035915 -1.477298 15.024382 0.150355 -0.031949 -0.059721 11.573413 26.617092 -93.820198 22.782131
15344 13712 0.126899 -1.941797 7.649864 0.016130 -0.067103 -0.055460 8.368468 23.044328 -93.474639 22.788120
14864 13712 0.888294 -1.771800 12.132039 0.073655 -0.118237 -0.024567 8.902626 21.436584 -91.919609 22.770149
14960 13712 1.757434 0.517174 20.349357 -0.014763 -0.504934 -0.117246 5.341575 20.007478 -87.772857 22.785125
15152 13712 1.599408 -2.186017 11.808805 -0.250190 -0.117172 -0.124703 -1.602473 16.256076 -79.997703 22.779134
14944 13712 1.434200 2.193201 11.653174 -1.860895 -0.170436 0.558142 -0.534157 29.118026 -71.358642 22.767154
14336 13712 1.896304 -1.312089 8.885335 0.229186 -0.597613 0.030828 3.739103 34.834449 -47.169269 22.755174
14640 13712 2.303339 0.124505 8.272389 0.057676 -0.389883 0.710477 12.463675 46.088657 -50.106552 22.764160
14608 13712 2.530800 -0.316051 6.258762 -0.109573 -0.580569 0.467593 29.912820 50.018695 -41.467491 22.764160
14864 13712 1.290540 -1.556310 12.898222 -0.054179 -0.464453 0.569860 47.183914 53.412822 -47.860397 22.752178
14720 13712 1.055897 -1.769405 17.567153 1.135740 -0.742491 0.355738 57.510955 52.698268 -62.028457 22.755174
15568 13712 -0.028732 0.124505 12.055420 -0.154315 -0.407993 0.085157 61.428112 45.910018 -76.196517 22.755174
15520 13712 0.794915 -2.329677 11.282053 -0.068027 -0.343011 0.400480 60.181743 46.445934 -76.023735 22.752178
15408 13712 0.397458 -3.191633 3.510078 -0.615582 -0.561394 0.173575 61.606166 43.944999 -78.788230 22.746189
15424 13712 1.367159 2.854034 15.010016 -0.488813 -0.118237 0.505943 65.345268 34.119895 -90.019012 22.737203
14944 13712 2.413478 -3.806975 7.807889 0.108809 3.119151 -0.653082 60.359798 24.473434 -95.893577 22.746189
15104 13712 4.525272 -0.656045 34.626708 0.182313 -0.253527 0.295017 62.496425 22.687051 -94.856887 22.734207
15520 13712 -0.124505 -0.677594 12.208657 0.002281 -0.289747 -0.126834 57.689010 20.007478 -97.103042 22.737203
15136 13712 -0.797310 -1.309695 10.803189 0.053415 -0.078821 -0.022436 53.771854 20.722032 -100.213104 22.731212
